"idvisitas","idvalidacion","iduser","idgeo","fvisita","idobs1","idobs2","idviento","temperatura","idnubes","observaciones","fcreacion","fmodificacion","ptf","protocolo","ffin"
93,NULL,NULL,"21","2012-08-28 10:00:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120828",16,"2012-08-28 11:00:00"
94,NULL,NULL,"23","2012-08-27 09:47:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120827",16,"2012-08-27 10:55:00"
95,NULL,NULL,"15","2012-08-24 10:45:00",77,55,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120824",16,"2012-08-24 11:40:00"
96,NULL,NULL,"24","2012-08-22 10:44:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120822",16,"2012-08-22 11:20:00"
97,NULL,NULL,"16","2012-08-22 09:53:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120822",16,"2012-08-22 10:40:00"
98,NULL,NULL,"15","2012-08-17 09:47:00",55,0,2,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120817",16,"2012-08-17 10:36:00"
99,NULL,NULL,"18","2012-08-14 10:40:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20120814",16,"2012-08-14 11:50:00"
100,NULL,NULL,"17","2012-08-14 09:35:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120814",16,"2012-08-14 10:30:00"
101,NULL,NULL,"14","2012-08-13 10:30:00",55,0,1,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120813",16,"2012-08-13 11:19:00"
102,NULL,NULL,"20","2012-08-10 10:26:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20120810",16,"2012-08-10 11:38:00"
103,NULL,NULL,"16","2012-08-09 07:57:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120809",16,"2012-08-09 12:41:00"
104,NULL,NULL,"24","2012-08-09 09:32:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120809",16,"2012-08-09 10:33:00"
105,NULL,NULL,"23","2012-08-08 09:45:00",55,0,2,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120808",16,"2012-08-08 11:15:00"
106,NULL,NULL,"18","2012-07-27 10:34:00",55,0,8,NULL,5,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20120727",16,"2012-07-27 11:20:00"
107,NULL,NULL,"17","2012-07-27 09:35:00",55,0,8,NULL,5,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120727",16,"2012-07-27 10:25:00"
108,NULL,NULL,"15","2012-08-01 10:30:00",55,0,1,NULL,1,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120801",16,"2012-08-01 10:40:00"
109,NULL,NULL,"18","2012-08-21 12:10:00",55,0,8,NULL,5,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20120821",16,"2012-08-21 13:08:00"
110,NULL,NULL,"17","2012-08-21 11:11:00",55,82,8,NULL,5,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120821",16,"2012-08-21 12:00:00"
111,NULL,NULL,"21","2012-08-07 10:30:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120807",16,"2012-08-07 12:00:00"
112,NULL,NULL,"24","2012-07-27 12:20:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-24-20120727",16,"2012-07-27 13:20:00"
113,NULL,NULL,"23","2012-07-25 10:17:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-23-20120725",16,"2012-07-25 11:24:00"
114,NULL,NULL,"14","2012-07-23 11:07:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120723",16,"2012-07-23 11:55:00"
115,NULL,NULL,"18","2012-07-11 10:30:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-18-20120711",16,"2012-07-11 12:25:00"
116,NULL,NULL,"38","2013-08-26 11:00:00",82,0,2,NULL,2,"70% sol y 30% nubes","2021-04-13 00:00:00","2021-04-13 00:00:00","16-38-20130826",16,"2013-08-26 11:10:00"
117,NULL,NULL,"17","2012-07-18 10:00:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-17-20120718",16,"2012-07-18 11:07:00"
118,NULL,NULL,"14","2012-07-17 10:30:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120717",16,"2012-07-17 11:10:00"
119,NULL,NULL,"15","2012-07-10 11:50:00",55,0,2,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-15-20120710",16,"2012-07-10 12:46:00"
120,NULL,NULL,"20","2012-07-06 10:00:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20120706",16,"2012-07-06 11:40:00"
121,NULL,NULL,"14","2012-07-05 11:00:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-14-20120705",16,"2012-07-05 12:00:00"
122,NULL,NULL,"21","2012-07-04 10:40:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-21-20120704",16,"2012-07-04 12:10:00"
123,NULL,NULL,"20","2012-07-26 12:44:00",55,0,0,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-20-20120726",16,"2012-07-26 14:00:00"
124,NULL,NULL,"16","2012-07-26 10:40:00",55,0,1,NULL,0,"0","2021-04-13 00:00:00","2021-04-13 00:00:00","16-16-20120726",16,"2012-07-26 11:53:00"
