"idesp","id","nombre_cientifico","created_at","updated_at","ent_pk","imagen","dicc_ecologia_id","dicc_biogeovoou_id","dicc_biogeosimple_id","dicc_estatussn_id","dicc_ecologiatrofica_id","ent_pk_padre","autor","nombre_comun","nivel","audio","idprotocolo"
16014,16321,"Gentiana sierrae","2011-05-16 13:49:20.414609","2011-05-16 13:49:20.414609",9240,NULL,NULL,NULL,NULL,NULL,NULL,9233,NULL,"Genciana de primavera",9,NULL,NULL
16015,16322,"Gentianella","2011-05-16 13:49:20.426675","2011-05-16 13:49:20.426675",104872,NULL,NULL,NULL,NULL,NULL,NULL,1852,NULL,NULL,8,NULL,NULL
16016,16323,"Gentianella tenella","2011-05-16 13:49:20.438755","2011-05-16 13:49:20.438755",104838,NULL,NULL,NULL,NULL,NULL,NULL,104872,NULL,"Gencianilla",9,NULL,NULL
16017,16324,"Comastoma","2011-05-16 13:49:20.450824","2011-05-16 13:49:20.450824",107570,NULL,NULL,NULL,NULL,NULL,NULL,1852,NULL,NULL,8,NULL,NULL
16018,16325,"Comastoma tenellum","2011-05-16 13:49:20.462869","2011-05-16 13:49:20.462869",29185,NULL,NULL,NULL,NULL,NULL,NULL,107570,NULL,NULL,9,NULL,NULL
16019,16326,"Apocynaceae","2011-05-16 13:49:20.474905","2011-05-16 13:49:20.474905",1853,NULL,NULL,NULL,NULL,NULL,NULL,280,NULL,NULL,7,NULL,NULL
16020,16327,"Nerium","2011-05-16 13:49:20.486851","2011-05-16 13:49:20.486851",9241,NULL,NULL,NULL,NULL,NULL,NULL,1853,NULL,NULL,8,NULL,NULL
16021,16328,"Nerium oleander","2011-05-16 13:49:20.498874","2011-05-16 13:49:20.498874",9242,NULL,NULL,NULL,NULL,NULL,NULL,9241,NULL,NULL,9,NULL,NULL
16022,16329,"Vinca","2011-05-16 13:49:20.510842","2011-05-16 13:49:20.510842",9243,NULL,NULL,NULL,NULL,NULL,NULL,1853,NULL,NULL,8,NULL,NULL
16023,16330,"Vinca difformis","2011-05-16 13:49:20.522906","2011-05-16 13:49:20.522906",9244,NULL,NULL,NULL,NULL,NULL,NULL,9243,NULL,NULL,9,NULL,NULL
