"transect_id","transect_nombre","cult_id","loc","cultivo","replicate","distance"
303,"D010",4,"SANJUAN","CULT_2","R2",16889.5283252032
303,"D010",2,"CANAR","CULT_2","R2",1350.23936497984
302,"D011",3,"CANAR","CULT_3","R3",1042.8118224634
302,"D011",1,"CANAR","CULT_1","R1",2607.98781820746
302,"D011",5,"SANJUAN","CULT_1","R1",16950.1383236968
302,"D011",4,"SANJUAN","CULT_2","R2",16804.6794255187
302,"D011",2,"CANAR","CULT_2","R2",1433.82869393367
301,"D012",1,"CANAR","CULT_1","R1",2622.98377796895
301,"D012",3,"CANAR","CULT_3","R3",1106.15209871527
301,"D012",2,"CANAR","CULT_2","R2",1484.14007444995
301,"D012",4,"SANJUAN","CULT_2","R2",16759.7768178368
301,"D012",5,"SANJUAN","CULT_1","R1",16900.9174565499
306,"D013",3,"CANAR","CULT_3","R3",1148.61419201194
306,"D013",1,"CANAR","CULT_1","R1",2651.28259215008
306,"D013",5,"SANJUAN","CULT_1","R1",16863.1054155371
306,"D013",4,"SANJUAN","CULT_2","R2",16723.1689117833
306,"D013",2,"CANAR","CULT_2","R2",1523.41438881991
334,"D014",3,"CANAR","CULT_3","R3",519.355372889448
334,"D014",1,"CANAR","CULT_1","R1",2249.87240707193
334,"D014",5,"SANJUAN","CULT_1","R1",17569.6866415746
334,"D014",4,"SANJUAN","CULT_2","R2",17406.3279912539
334,"D014",2,"CANAR","CULT_2","R2",860.507367634385
333,"D015",1,"CANAR","CULT_1","R1",2473.43200266735
333,"D015",3,"CANAR","CULT_3","R3",738.460282935334
333,"D015",2,"CANAR","CULT_2","R2",1051.69548996294
333,"D015",4,"SANJUAN","CULT_2","R2",17291.0500201389
333,"D015",5,"SANJUAN","CULT_1","R1",17463.7335330251
331,"D016",3,"CANAR","CULT_3","R3",818.702258958165
331,"D016",1,"CANAR","CULT_1","R1",2547.74713390588
331,"D016",5,"SANJUAN","CULT_1","R1",17488.0897864614
331,"D016",4,"SANJUAN","CULT_2","R2",17309.509670767
331,"D016",2,"CANAR","CULT_2","R2",1108.9116420368
332,"D017",3,"CANAR","CULT_3","R3",706.999166494484
332,"D017",1,"CANAR","CULT_1","R1",2400.21399594433
332,"D017",5,"SANJUAN","CULT_1","R1",17724.0985044126
332,"D017",4,"SANJUAN","CULT_2","R2",17543.7421759915
